SITE,DATE,SWE_cm
S602,3/31/2023,12.446
S603,3/31/2023,7.874
S613,3/31/2023,10.16
S614,3/31/2023,5.588
S624,3/31/2023,11.684
S625,3/31/2023,11.684
S635,3/31/2023,9.144
S636,3/31/2023,4.826
S646,3/31/2023,6.096
S645,3/31/2023,10.668
S655,3/31/2023,10.922
S654,3/31/2023,12.7
S644,3/31/2023,7.62
S633,3/31/2023,9.144
S643,3/31/2023,13.462
S642,3/31/2023,11.176
S632,3/31/2023,4.826
S622,3/31/2023,9.144
S631,3/31/2023,8.382
S621,3/31/2023,9.652
S611,3/31/2023,8.128
S612,3/31/2023,14.224
S623,3/31/2023,14.732
S634,3/31/2023,13.716
S220,4/14/2023,
S215,4/14/2023,3.556
S205,4/14/2023,
S204,4/14/2023,
S203,4/14/2023,
S202,4/14/2023,
S201,4/14/2023,
S200,4/14/2023,
S211,4/14/2023,1.778
S221,4/14/2023,5.842
S212,4/14/2023,3.302
S222,4/14/2023,4.064
S232,4/14/2023,4.318
S233,4/14/2023,3.81
S223,4/14/2023,6.858
S213,4/14/2023,4.572
S214,4/14/2023,
S224,4/14/2023,8.382
S234,4/14/2023,10.922
S244,4/14/2023,5.588
S243,4/14/2023,3.302
S254,4/14/2023,
S255,4/14/2023,
S245,4/14/2023,
S246,4/14/2023,1.778
S236,4/14/2023,4.064
S226,4/14/2023,
S225,4/14/2023,8.128
S235,4/14/2023,8.382
S601,4/13/2023,
S602,4/13/2023,2.54
S603,4/13/2023,
S613,4/13/2023,1.27
S614,4/13/2023,
S624,4/13/2023,3.048
S625,4/13/2023,
S635,4/13/2023,3.048
S636,4/13/2023,
S646,4/13/2023,
S645,4/13/2023,3.048
S655,4/13/2023,5.08
S654,4/13/2023,
S644,4/13/2023,
S633,4/13/2023,
S643,4/13/2023,2.286
S642,4/13/2023,5.842
S632,4/13/2023,
S622,4/13/2023,
S631,4/13/2023,
S621,4/13/2023,
S611,4/13/2023,
S612,4/13/2023,3.81
S623,4/13/2023,
S634,4/13/2023,
S220,4/28/2023,
S215,4/28/2023,
S205,4/28/2023,
S204,4/28/2023,
S203,4/28/2023,
S202,4/28/2023,
S201,4/28/2023,
S200,4/28/2023,
S211,4/28/2023,
S221,4/28/2023,
S212,4/28/2023,
S222,4/28/2023,2.54
S232,4/28/2023,6.096
S233,4/28/2023,
S223,4/28/2023,
S213,4/28/2023,
S214,4/28/2023,
S224,4/28/2023,6.604
S234,4/28/2023,
S244,4/28/2023,
S243,4/28/2023,
S254,4/28/2023,
S255,4/28/2023,
S245,4/28/2023,
S246,4/28/2023,
S236,4/28/2023,
S226,4/28/2023,
S225,4/28/2023,4.318
S235,4/28/2023,
S601,4/27/2023,
S602,4/27/2023,
S603,4/27/2023,
S613,4/27/2023,
S614,4/27/2023,
S624,4/27/2023,
S625,4/27/2023,
S635,4/27/2023,
S636,4/27/2023,
S646,4/27/2023,
S645,4/27/2023,
S655,4/27/2023,2.286
S654,4/27/2023,
S644,4/27/2023,
S633,4/27/2023,
S643,4/27/2023,
S642,4/27/2023,
S632,4/27/2023,
S622,4/27/2023,
S631,4/27/2023,
S621,4/27/2023,
S611,4/27/2023,
S612,4/27/2023,4.826
S623,4/27/2023,11.43
S634,4/27/2023,
