"Label","Class","Stake","Horizon","Start.Depth..cm.","End.Depth..cm.","Structure","Consistency","Mottled","X.Clay","X.Silt","X.Sand","Watershed"
"S601-5","SaClLo","S601","CB",66,78,"blocky","firm","",30.4950495,17.82178218,51.68316832,6
"S601-6","Cl","S601","C",78,102,"blocky","firm","",40.3960396,17.16171617,42.44224422,6
"S602-1","Lo","S602","A",0,13,"granular","friable","",9.108910891,38.54785479,52.34323432,6
"S602-2","Lo","S602","AB",13,25,"granular","friable","",15.04950495,33.66336634,51.28712871,6
"S602-3","Lo","S602","B1",25,38,"granular","friable","",22.97029703,42.90429043,34.12541254,6
"S602-4","SaLo","S602","B2",38,46,"granular","friable","",15.04950495,22.44224422,62.50825083,6
"S602-5","SaLo","S602","B3",46,76,"granular","friable","",13.06930693,11.88118812,75.04950495,6
"S602-6","SaClLo","S602","C",76,100,"blocky","firm","",28.91089109,19.14191419,51.94719472,6
"S603-1","SaLo","S603","A",0,11,"granular","loose/friable","",8.712871287,25.08250825,66.20462046,6
"S603-2","SaLo","S603","E",11,19,"single/granular","loose/friable","",10.69306931,19.8019802,69.5049505,6
"S603-3","SaLo","S603","B1",19,29,"single/granular","loose/friable","",10.69306931,19.8019802,69.5049505,6
"S603-4","SaLo","S603","B2",29,42,"single/granular","loose/friable","",11.08910891,16.76567657,72.14521452,6
"S603-5","SaClLo","S603","BC",42,48,"granular","friable","",26.93069307,18.08580858,54.98349835,6
"S603-6","SaCl","S603","CB",48,57,"granular/blocky","friable/firm","",38.81188119,16.10561056,45.08250825,6
"S603-7","ClLo","S603","C",57,100,"blocky","firm","",38.81188119,17.42574257,43.76237624,6
"S613-1","SaLo","S613","A",1,9,"granular","friable","",12.67326733,13.06930693,74.25742574,6
"S613-2","SaLo","S613","E",9,15,"granular","friable","",12.67326733,15.37953795,71.94719472,6
"S613-3","SaLo","S613","B1",15,30,"granular","friable","",16.63366337,9.174917492,74.19141914,6
"S613-4","SaLo","S613","B2",30,45,"granular/blocky","friable","",12.67326733,5.214521452,82.11221122,6
"S613-5","Cl","S613","CB",45,86,"blocky","firm","",50.2970297,15.11551155,34.58745875,6
"S613-6","Cl","S613","C",86,100,"blocky","firm","",46.33663366,15.77557756,37.88778878,6
"S614-1","SaLo","S614","A",1,6,"granular","friable","",10.69306931,22.44224422,66.86468647,6
"S614-2","SaLo","S614","E",6,16,"granular","friable","",14.65346535,27.06270627,58.28382838,6
"S614-3","SaLo","S614","B",16,29,"granular","friable","",14.65346535,27.06270627,58.28382838,6
"S614-4","SaLo","S614","BC",29,52,"granular/blocky","friable/firm","",12.67326733,17.16171617,70.1650165,6
"S614-5","SaLo","S614","C",52,75,"blocky","firm","",16.63366337,12.54125413,70.82508251,6
"S621-1","SaLo","S621","A",1,11,"granular","friable","",9.108910891,21.78217822,69.10891089,6
"S621-2","SaLo","S621","E",11,22,"granular","friable","",11.08910891,13.20132013,75.70957096,6
"S621-3","SaLo","S621","B",22,56,"granular","friable","",9.108910891,15.84158416,75.04950495,6
"S621-4","LoSa","S621","BC",56,76,"granular","friable","",7.128712871,9.900990099,82.97029703,6
"S622-1","SaLo","S622","A",1,7,"granular","friable","",8.712871287,24.68646865,66.60066007,6
"S622-2","SaLo","S622","E",7,18,"granular","friable","",10.69306931,18.48184818,70.82508251,6
"S622-3","SaLo","S622","B1",18,28,"granular","friable","",12.67326733,18.48184818,68.84488449,6
"S622-4","SaLo","S622","B2",28,48,"granular","friable","",16.63366337,21.78217822,61.58415842,6
"S624-1","SaLo","S624","A",1,8,"granular/blocky","friable","",8.316831683,26.00660066,65.67656766,6
"S624-2","SaLo","S624","E",8,13,"granular/blocky","friable","",14.25742574,22.70627063,63.03630363,6
"S624-3","SaLo","S624","B",13,26,"granular/blocky","friable","",14.25742574,24.68646865,61.05610561,6
"S624-4","SaClLo","S624","BC",26,37,"blocky","firm","",20.1980198,21.38613861,58.41584158,6
"S624-5","ClLo","S624","CB",37,61,"blocky","firm","",38.01980198,18.74587459,43.23432343,6
"S624-6","ClLo","S624","C",61,90,"blocky","firm","",38.41584158,19.669967,41.91419142,6
"S625-1","SaLo","S625","A",1,9,"granular/blocky","friable","",8.712871287,24.95049505,66.33663366,6
"S625-2","SaLo","S625","E",9,17,"granular/blocky","friable","",10.69306931,24.42244224,64.88448845,6
"S625-3","SaLo","S625","B1",17,28,"granular/blocky","friable","",12.67326733,21.78217822,65.54455446,6
"S625-4","SaLo","S625","B2",28,53,"granular/blocky","friable","mottled",12.67326733,17.82178218,69.5049505,6
"S625-5","SaClLo","S625","BC",53,71,"blocky","friable/firm","mottled",28.51485149,19.14191419,52.34323432,6
"S625-6","SaClLo","S625","C",71,100,"blocky","firm","",34.45544554,20.4620462,45.08250825,6
"S631-1","SaLo","S631","A",0,12,"granular","friable","",10.69306931,29.04290429,60.2640264,6
"S631-2","SaLo","S631","E",12,18,"granular","friable","",16.63366337,29.7029703,53.66336634,6
"S631-3","SaClLo","S631","B",18,32,"blocky","firm","",34.05940594,20.72607261,45.21452145,6
"S631-4","Cl","S631","BC",32,60,"blocky","firm","",47.92079208,16.76567657,35.31353135,6
"S631-5","Cl","S631","C",60,100,"blocky","firm","",40,18.74587459,41.25412541,6
"S631-5","ClLo","S631","C",60,100,"blocky","firm","",40,18.74587459,41.25412541,6
"S632-1","SaLo","S632","A",1,10,"granular","friable","",12.67326733,21.38613861,65.94059406,6
"S632-2","SaLo","S632","E",10,18,"granular","friable","",10.69306931,30.62706271,58.67986799,6
"S632-3","SaLo","S632","B1",18,33,"granular","friable","",12.67326733,17.42574257,69.9009901,6
"S632-4","SaLo","S632","B2",33,53,"granular","friable","",10.69306931,19.40594059,69.9009901,6
"S632-5","SaLo","S632","B3",53,66,"granular","friable","",10.69306931,9.504950495,79.8019802,6
"S632-6","SaLo","S632","BC",66,90,"granular","friable","",10.69306931,11.48514851,77.82178218,6
"S632-7","SaLo","S632","C",90,100,"granular/blocky","friable","mottled",12.67326733,20.0660066,67.26072607,6
"S633 -1","SaLo","S633","A",1,7,"granular","friable","",8.712871287,17.82178218,73.46534653,6
"S633 -2","SaLo","S633","E",7,12,"granular","friable","",8.712871287,15.84158416,75.44554455,6
"S633 -3","SaLo","S633","B1",12,39,"granular","friable","",12.67326733,11.88118812,75.44554455,6
"S633 -4","SaLo","S633","B2",39,51,"granular","friable","",10.69306931,12.54125413,76.76567657,6
"S633 -5","SaLo","S633","BC",51,64,"single","loose","",14.25742574,10.82508251,74.91749175,6
"S633 -6","SaClLo","S633","C",64,100,"blocky","firm","mottled",34.05940594,19.40594059,46.53465347,6
"S635-1","SaLo","S635","A",1,9,"granular/blocky","friable","",12.27722772,24.02640264,63.69636964,6
"S635-2","SaLo","S635","E",9,17,"granular","friable","",14.25742574,21.38613861,64.35643564,6
"S635-3","SaClLo","S635","B1",17,24,"granular/blocky","firm","",22.17821782,23.36633663,54.45544554,6
"S635-4","Cl","S635","B2",24,58,"massive","firm","",41.98019802,18.08580858,39.9339934,6
"S635-5","Cl","S635","CB",58,62,"blocky","firm","",43.96039604,16.76567657,39.27392739,6
"S635-6","ClLo","S635","C",62,100,"granular/blocky","firm","",36.03960396,20.0660066,43.89438944,6
"S636-1","SaLo","S636","A",0,12,"granular","friable","",11.08910891,25.74257426,63.16831683,6
"S636-2","SaLo","S636","E",12,18,"granular","friable","",13.06930693,23.10231023,63.82838284,6
"S636-3","SaLo","S636","B",18,30,"granular/blocky","friable","",15.04950495,19.14191419,65.80858086,6
"S636-4","SaClLo","S636","CB",30,49,"blocky","firm","",28.91089109,21.12211221,49.9669967,6
"S636-5","Cl","S636","C",49,100,"blocky","firm","",40.79207921,15.84158416,43.36633663,6
"S642-1","SaLo","S642","A",0,16,"granular","friable","",10.2970297,18.08580858,71.61716172,6
"S642-2","SaLo","S642","B1",16,32,"granular","friable","",10.2970297,16.76567657,72.93729373,6
"S642-3","SaLo","S642","B2",32,50,"granular","friable","",10.2970297,21.38613861,68.31683168,6
"S642-4","LoSa","S642","B3",50,80,"granular","friable","",10.2970297,8.184818482,81.51815182,6
"S642-5","Cl","S642","CB",80,93,"blocky","frim","",40.3960396,16.10561056,43.49834983,6
"S642-6","SaLo","S642","C",93,100,"granular/single","firm/loose","",14.65346535,8.844884488,76.50165017,6
"S643-1","SaLo","S643","A",1,10,"granular","friable","",9.900990099,27.72277228,62.37623762,6
"S643-2","SaLo","S643","E",10,18,"granular","friable","",11.88118812,27.72277228,60.3960396,6
"S643-3","SaLo","S643","B1",18,37,"granular/blocky","friable","",11.88118812,13.20132013,74.91749175,6
"S643-4","LoSa","S643","B2",37,60,"granular/blocky","friable","",9.900990099,8.580858086,81.51815182,6
"S643-5","SaClLo","S643","CB",60,74,"blocky","firm","",27.72277228,19.8019802,52.47524752,6
"S643-6","SaLo","S643","Ab",74,84,"granular","friable/firm","",11.88118812,13.86138614,74.25742574,6
"S643-7","SaClLo","S643","C",84,100,"blocky","firm","",34.05940594,18.08580858,47.85478548,6
"S644-1","SaLo","S644","A",0,9,"granular","friable","",9.108910891,14.52145215,76.36963696,6
