,time,northing,easting,depths,zones,stakes,aspect,slope,watershed
321,2023-02-17,464596.4,5262552.0,40.0,Upland,S236,4.635716,1.32895,S2
322,2023-02-17,464522.2,5262240.0,,,,,,S2
323,2023-02-17,464522.2,5262292.0,,,,,,S2
324,2023-02-17,464522.2,5262344.0,,,,,,S2
325,2023-02-17,464522.2,5262396.0,40.0,Upland,S243,50.67678,8.63669,S2
326,2023-02-17,464522.2,5262448.0,45.0,Upland,S244,355.6789,8.02736,S2
327,2023-02-17,464522.2,5262500.0,42.0,Upland,S245,21.695,3.57951,S2
328,2023-02-17,464522.2,5262552.0,40.0,Upland,S246,308.4806,5.336709,S2
329,2023-02-17,464448.0,5262240.0,,,,,,S2
330,2023-02-17,464448.0,5262292.0,,,,,,S2
331,2023-02-17,464448.0,5262344.0,,,,,,S2
332,2023-02-17,464448.0,5262396.0,,,,,,S2
333,2023-02-17,464448.0,5262448.0,37.0,Upland,S254,225.0,0.96229,S2
334,2023-02-17,464448.0,5262500.0,32.0,Upland,S255,0.008743,1.43197,S2
335,2023-02-17,464448.0,5262552.0,,,,,,S2
336,2023-02-24,464819.0,5262240.0,45.0,Upland,S200,193.3626,6.632267,S2
337,2023-02-24,464819.0,5262292.0,41.0,Upland,S201,115.0966,3.120716,S2
338,2023-02-24,464819.0,5262344.0,32.0,Upland,S202,352.4059,2.16637,S2
339,2023-02-24,464819.0,5262396.0,42.0,Upland,S203,135.0012,7.45287,S2
340,2023-02-24,464819.0,5262448.0,31.0,Upland,S204,254.4066,9.503919,S2
341,2023-02-24,464819.0,5262500.0,44.0,Upland,S205,355.2919,3.051387,S2
342,2023-02-24,464819.0,5262552.0,,,,,,S2
343,2023-02-24,464744.8,5262240.0,,,,,,S2
344,2023-02-24,464744.8,5262292.0,50.0,Lagg,S211,332.3497,0.84887,S2
345,2023-02-24,464744.8,5262344.0,41.0,Lagg,S212,291.1621,2.37949,S2
346,2023-02-24,464744.8,5262396.0,52.0,Bog,S213,120.0787,0.78623,S2
347,2023-02-24,464744.8,5262448.0,30.0,Upland,S214,9.296235,3.98498,S2
348,2023-02-24,464744.8,5262500.0,52.0,Upland,S215,201.5048,1.26977,S2
349,2023-02-24,464744.8,5262552.0,,,,,,S2
