"Watershed","SnowcourseID","Date","Point","SnowDEPTH","SWE"
"JUNCTION","JUNC",1994-03-28,7,8,2
"JUNCTION","JUNC",1994-03-28,8,0,0
"JUNCTION","JUNC",1994-03-28,9,8,2
"JUNCTION","JUNC",1994-03-28,10,10,3
"JUNCTION","JUNC",1994-04-11,1,0,0
"JUNCTION","JUNC",1994-04-11,2,0,0
"JUNCTION","JUNC",1994-04-11,3,0,0
"JUNCTION","JUNC",1994-04-11,4,0,0
"JUNCTION","JUNC",1994-04-11,5,0,0
"JUNCTION","JUNC",1994-04-11,6,0,0
"JUNCTION","JUNC",1994-04-11,7,0,0
"JUNCTION","JUNC",1994-04-11,8,0,0
"JUNCTION","JUNC",1994-04-11,9,0,0
"JUNCTION","JUNC",1994-04-11,10,0,0
"JUNCTION","JUNC",1995-02-16,1,53,8
"JUNCTION","JUNC",1995-02-16,2,30,5
"JUNCTION","JUNC",1995-02-16,3,50,9
"JUNCTION","JUNC",1995-02-16,4,46,7
"JUNCTION","JUNC",1995-02-16,5,39,7
"JUNCTION","JUNC",1995-02-16,6,47,7
"JUNCTION","JUNC",1995-02-16,7,44,8
"JUNCTION","JUNC",1995-02-16,8,38,5
"JUNCTION","JUNC",1995-02-16,9,46,9
"JUNCTION","JUNC",1995-02-16,10,44,8
"JUNCTION","JUNC",1995-03-02,1,39,7
"JUNCTION","JUNC",1995-03-02,2,42,9
"JUNCTION","JUNC",1995-03-02,3,36,6
"JUNCTION","JUNC",1995-03-02,4,38,9
"JUNCTION","JUNC",1995-03-02,5,42,10
"JUNCTION","JUNC",1995-03-02,6,41,8
"JUNCTION","JUNC",1995-03-02,7,33,6
"JUNCTION","JUNC",1995-03-02,8,33,6
"JUNCTION","JUNC",1995-03-02,9,32,7
"JUNCTION","JUNC",1995-03-02,10,30,6
"JUNCTION","JUNC",1995-03-16,1,0,0
"JUNCTION","JUNC",1995-03-16,2,0,0
"JUNCTION","JUNC",1995-03-16,3,0,0
"JUNCTION","JUNC",1995-03-16,4,0,0
"JUNCTION","JUNC",1995-03-16,5,0,0
"JUNCTION","JUNC",1995-03-16,6,0,0
"JUNCTION","JUNC",1995-03-16,7,0,0
"JUNCTION","JUNC",1995-03-16,8,0,0
"JUNCTION","JUNC",1995-03-16,9,0,0
"JUNCTION","JUNC",1995-03-16,10,0,0
"JUNCTION","JUNC",1996-02-14,1,69,16
"JUNCTION","JUNC",1996-02-14,2,65,16
"JUNCTION","JUNC",1996-02-14,3,62,8
"JUNCTION","JUNC",1996-02-14,4,58,12
"JUNCTION","JUNC",1996-02-14,5,65,13
"JUNCTION","JUNC",1996-02-14,6,65,13
"JUNCTION","JUNC",1996-02-14,7,69,15
"JUNCTION","JUNC",1996-02-14,8,60,13
"JUNCTION","JUNC",1996-02-14,9,62,13
"JUNCTION","JUNC",1996-02-14,10,61,13
"JUNCTION","JUNC",1996-02-28,1,84,20
"JUNCTION","JUNC",1996-02-28,2,79,18
"JUNCTION","JUNC",1996-02-28,3,79,17
"JUNCTION","JUNC",1996-02-28,4,80,18
"JUNCTION","JUNC",1996-02-28,5,83,19
"JUNCTION","JUNC",1996-02-28,6,85,19
"JUNCTION","JUNC",1996-02-28,7,84,19
"JUNCTION","JUNC",1996-02-28,8,83,19
"JUNCTION","JUNC",1996-02-28,9,83,19
"JUNCTION","JUNC",1996-02-28,10,84,19
"JUNCTION","JUNC",1996-03-13,1,66,17
"JUNCTION","JUNC",1996-03-13,2,65,18
"JUNCTION","JUNC",1996-03-13,3,60,16
"JUNCTION","JUNC",1996-03-13,4,56,15
"JUNCTION","JUNC",1996-03-13,5,62,20
"JUNCTION","JUNC",1996-03-13,6,69,20
"JUNCTION","JUNC",1996-03-13,7,66,20
"JUNCTION","JUNC",1996-03-13,8,62,19
"JUNCTION","JUNC",1996-03-13,9,56,15
"JUNCTION","JUNC",1996-03-13,10,58,17
"JUNCTION","JUNC",1996-03-27,1,61,20
"JUNCTION","JUNC",1996-03-27,2,60,19
"JUNCTION","JUNC",1996-03-27,3,55,17
"JUNCTION","JUNC",1996-03-27,4,48,13
"JUNCTION","JUNC",1996-03-27,5,60,20
"JUNCTION","JUNC",1996-03-27,6,58,15
"JUNCTION","JUNC",1996-03-27,7,61,18
"JUNCTION","JUNC",1996-03-27,8,56,18
"JUNCTION","JUNC",1996-03-27,9,51,16
"JUNCTION","JUNC",1996-03-27,10,48,14
"JUNCTION","JUNC",1996-04-10,1,57,17
"JUNCTION","JUNC",1996-04-10,2,53,18
"JUNCTION","JUNC",1996-04-10,3,44,18
"JUNCTION","JUNC",1996-04-10,4,44,17
"JUNCTION","JUNC",1996-04-10,5,47,16
"JUNCTION","JUNC",1996-04-10,6,48,18
"JUNCTION","JUNC",1996-04-10,7,51,19
"JUNCTION","JUNC",1996-04-10,8,48,18
"JUNCTION","JUNC",1996-04-10,9,41,13
"JUNCTION","JUNC",1996-04-10,10,38,15
"JUNCTION","JUNC",1996-04-24,1,0,0
"JUNCTION","JUNC",1996-04-24,2,0,0
"JUNCTION","JUNC",1996-04-24,3,0,0
"JUNCTION","JUNC",1996-04-24,4,0,0
"JUNCTION","JUNC",1996-04-24,5,0,0
"JUNCTION","JUNC",1996-04-24,6,0,0
"JUNCTION","JUNC",1996-04-24,7,0,0
"JUNCTION","JUNC",1996-04-24,8,0,0
"JUNCTION","JUNC",1996-04-24,9,0,0
"JUNCTION","JUNC",1996-04-24,10,0,0
"JUNCTION","JUNC",1997-02-12,1,53,12
"JUNCTION","JUNC",1997-02-12,2,58,14
"JUNCTION","JUNC",1997-02-12,3,57,13
